Title,ArtistName,Rank,Weeks,isNew
straight outta compton,n.w.a,61,2,0
here,alessia cara,62,4,0
burning house,cam,63,7,0
beautiful now,zedd featuring jon bellion,64,12,0
boyz-n-the hood,eazy-e,65,2,0
rotten to the core,dove cameron  cameron boyce  booboo stewart & sofia carson,66,4,0
black magic,little mix,67,3,0
el perdon (forgiveness),nicky jam & enrique iglesias,68,23,0
comfortable,k camp,69,4,0
loving you easy,zac brown band,70,14,0
young & crazy,frankie ballard,71,14,0
be real,kid ink featuring dej loaf,72,20,0
anything goes,florida georgia line,73,7,0
ghost town,adam lambert,74,11,0
should've been us,tori kelly,75,7,0
break up with him,old dominion,76,8,0
fly,maddie & tae,77,7,0
cheyenne,jason derulo,78,5,0
r.i.c.o.,meek mill featuring drake,79,9,0
i'm comin' over,chris young,80,9,0
sangria,blake shelton,81,20,0
do it again,pia mia featuring chris brown & tyga,82,9,0
omen,disclosure featuring sam smith,83,4,0
let me see ya girl,cole swindell,84,4,0
kiss you in the morning,michael ray,85,14,0
real life,jake owen,86,10,0
levels,nick jonas,87,1,1
nothin' like you,dan + shay,88,3,0
alright,kendrick lamar,89,10,0
one man can change the world,big sean featuring kanye west & john legend,90,8,0
no role modelz,j. cole,91,2,0
gonna wanna tonight,chase rice,92,3,0
100,the game featuring drake,93,4,0
