Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
I Want You Around,snoh aalegra,2019,08,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,215373,70,0
Dior,pop smoke,2019,07,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,46573,68,0
Highwomen,the highwomen,2019,09,0.554,0.47,8,-6.604,0,0.0548,0.77,2.6e-06,0.106,0.346,95.598,51170,63,0
Barren and Breathless Macrocosm,shadow of intent,2019,08,0.256,0.988,2,-3.6,1,0.202,2.41e-05,0.371,0.724,0.0711,109.986,53403,53,0
Como Así (feat. CNCO),lali,2019,11,0.661,0.676,5,-6.377,1,0.139,0.134,1.68e-06,0.109,0.494,171.951,597999,67,0
Ruthless,oso oso,2019,08,0.724,0.269,5,-15.465,1,0.0456,0.388,0,0.0808,0.866,86.042,5640,53,0
Hallucinogenics,matt maeson,2019,04,0.549,0.653,0,-7.47,1,0.0503,0.457,0,0.0969,0.287,121.348,163917,70,0
Farther Along,josh garrels,2011,07,0.557,0.533,4,-6.114,0,0.03,0.0783,0.00955,0.413,0.157,92.999,154286,61,0
still feel.,half alive,2019,08,0.779,0.516,10,-6.467,0,0.0521,0.148,0,0.0492,0.715,120.026,252694,67,0
Supply & Demand,wilder woods,2019,08,0.492,0.804,8,-5.053,1,0.078,0.0273,1.55e-06,0.071,0.574,159.956,16971,52,0
One Two,ugly god,2019,08,0.876,0.519,2,-7.317,1,0.11,0.0995,0.000101,0.104,0.156,75.483,1627214,68,1
Money Ball,dame d.o.l.l.a.,2019,08,0.749,0.902,6,-5.113,0,0.146,0.282,0.00126,0.112,0.508,95.029,84900,57,0
Language I: Intuition,the contortionist,2014,09,0.33,0.735,5,-6.007,0,0.0375,0.0154,0.656,0.212,0.162,135.114,103249,52,0
Drunk Me,mitchell tenpenny,2018,12,0.499,0.797,2,-3.77,1,0.0554,0.199,0,0.0933,0.408,176.024,95875,70,1
BOOM,nct,2019,07,0.914,0.516,5,-4.178,0,0.0918,0.131,0,0.0441,0.702,119.969,1858004,73,0
"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",jon z,2016,11,0.894,0.721,4,-5.829,0,0.258,0.155,0,0.154,0.392,107.963,1584699,77,0
Eloise,penny & sparrow,2019,08,0.597,0.4,7,-8.948,0,0.0423,0.741,0.000731,0.17,0.394,137.633,56563,60,0
Jealous,labrinth,2014,11,0.435,0.155,1,-8.948,1,0.046,0.873,0,0.107,0.0935,128.532,966161,82,0
July,noah cyrus,2019,07,0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541,463677,79,0
Vagabond,caamp,2016,03,0.571,0.399,4,-11.919,1,0.0364,0.766,0.0146,0.0926,0.611,141.922,102654,69,0
ICY,itzy,2019,07,0.801,0.904,2,-2.819,1,0.0834,0.0324,3.1e-05,0.182,0.814,124.979,363112,69,0
The Worst In Me,bad omens,2016,08,0.43,0.945,11,-2.662,0,0.102,0.00109,5.5e-05,0.311,0.276,170.081,88313,56,0
One Kiss,sofia carson,2019,08,0.678,0.793,7,-4.479,1,0.0318,0.00154,0.205,0.0649,0.913,140.013,1861325,74,0
So Caught Up,the teskey brothers,2019,08,0.744,0.693,4,-6.563,0,0.0261,0.293,0.00056,0.305,0.896,99.048,103540,64,0
Bloodline,northlane,2019,08,0.514,0.964,6,-6.78,1,0.0992,8.3e-05,0.196,0.137,0.404,97.492,172164,60,0
Feelings,lauv,2019,09,0.694,0.466,9,-6.758,1,0.0384,0.0934,0,0.098,0.246,103.018,1894497,90,1
Lo Que Siento,cuco,2017,05,0.326,0.685,10,-5.576,1,0.179,0.503,0,0.427,0.409,86.882,804647,77,0
La Di Da,lennon stella,2018,11,0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,141860,82,0
Feathered Indians,tyler childers,2017,08,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,278014,74,0
Turnin' Me Up,bj the chicago kid,2016,02,0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542,257387,70,0
Scars,i am they,2018,03,0.417,0.524,10,-6.6,1,0.0326,0.048,0,0.103,0.152,75.266,87281,58,0
Shooting Stars,bag raiders,2011,01,0.634,0.711,11,-6.187,1,0.0457,0.0933,0.0309,0.0823,0.451,124.962,164518,61,0
Ye,burna boy,2018,01,0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,248088,81,0
Imported (with 6LACK),jessie reyez,2019,04,0.726,0.636,7,-3.615,1,0.0496,0.199,0,0.111,0.362,111.097,521569,80,0
Sue Me,sabrina carpenter,2018,11,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,2439402,78,0
Beg for Life,tomb mold,2019,07,0.295,0.93,0,-6.027,1,0.0821,0.00862,0.83,0.355,0.0761,126.531,13742,35,0
Joro,wizkid,2019,09,0.686,0.694,7,-3.693,0,0.257,0.253,0.000904,0.109,0.587,189.998,310250,79,0
Dot in the Sky,drab majesty,2017,01,0.517,0.946,8,-5.787,1,0.0332,0.0379,0.0154,0.261,0.483,114.984,48004,50,0
All My Happiness is Gone,purple mountains,2019,07,0.505,0.746,7,-7.793,1,0.0271,0.00165,0.0463,0.266,0.724,138.126,18069,50,0
Have You Ever Seen the Rain,paula nelson,2010,07,0.506,0.26,9,-11.831,1,0.0284,0.58,0.0241,0.103,0.188,101.121,932,48,0
Someone You Loved,lewis capaldi,2019,05,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,1545726,89,1
Ransom,lil tecca,2019,08,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,1078880,89,1
Die Tonight,adam calhoun,2018,03,0.859,0.675,1,-6.683,1,0.142,0.038,0,0.105,0.183,99.941,95158,61,0
Admission,torche,2019,07,0.397,0.824,6,-4.647,0,0.0437,1.39e-06,0.736,0.409,0.252,119.965,37574,43,0
