Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
fabolous,trade it all pt2  ,2003,02,0.819,0.778,1.0,-5.839,0.0,0.21,0.029,0.0,0.215,0.779,96.72,102726,0
showbread,the pig,2008,01,0.391,0.586,4.0,-6.7,1.0,0.035,0.00191,0.124,0.175,0.153,120.417,100684,0
showbread,nothing matters anymore,2009,01,0.31,0.961,9.0,-3.794,1.0,0.0456,0.000396,0.0,0.656,0.234,164.939,6652941,0
jack johnson,fortunate fool,2011,04,0.808,0.267,4.0,-10.415,1.0,0.0426,0.609,0.00343,0.119,0.32,129.266,29959,0
workhorse,high horse,2007,10,0.42,0.669,7.0,-7.092,1.0,0.0287,0.121,0.131,0.0957,0.515,114.445,4809499,0
tracy byrd,walking to jerusalem,2001,01,0.689,0.827,2.0,-7.135,1.0,0.0326,0.0559,0.0,0.244,0.786,116.611,913,0
dj clue / p. diddy,intro,1998,01,0.679,0.0874,6.0,-21.821,1.0,0.924,0.625,0.0,0.405,0.704,129.775,76005,0
fake problems,tabernacle song,2009,02,0.401,0.625,0.0,-6.252,1.0,0.0294,0.0124,0.0,0.171,0.508,103.548,369,0
atb,collides with beauty,2004,05,0.595,0.896,9.0,-6.789,0.0,0.0407,0.0418,0.603,0.681,0.797,136.988,6574792,0
paul avgerinos,in my heart,2001,05,0.0706,0.0668,4.0,-26.717,1.0,0.0487,0.976,0.978,0.108,0.0279,76.312,19287,0
pyranja,anfang vom ende,2003,01,0.721,0.7,6.0,-8.817,0.0,0.32,0.408,1.68e-05,0.596,0.639,95.914,5931151,0
alice in chains,angry chair,1992,01,0.325,0.937,8.0,-6.295,1.0,0.085,0.0443,0.0,0.0442,0.158,106.989,4809499,0
beherit,suck my blood,2009,06,0.21,0.857,2.0,-5.798,1.0,0.0796,2.14e-05,0.0998,0.464,0.0978,149.739,13772069,0
casiotone for the painfully alone,white jetta,2009,04,0.658,0.868,4.0,-9.848,0.0,0.0892,0.0468,0.075,0.0749,0.0389,90.057,236124,0
aphasia,non-existent track ,2001,04,0.298,0.887,6.0,-7.493,1.0,0.572,0.0531,0.913,0.683,0.0715,219.59,19967,0
epmd,jane 5,1997,09,0.721,0.538,10.0,-8.281,0.0,0.388,0.0184,0.000317,0.119,0.393,86.927,1156430,0
architecture in helsinki,need to shout,2005,04,0.602,0.606,9.0,-10.224,1.0,0.101,0.319,0.00102,0.361,0.53,139.877,63264,0
atreyu,gallows ,2009,01,0.373,0.931,1.0,-3.576,1.0,0.151,1.61e-05,0.0,0.326,0.143,138.957,251,0
sonny landreth,she left me a mule ,2009,04,0.752,0.613,9.0,-10.618,1.0,0.0292,0.396,0.0199,0.246,0.843,131.468,101525,0
chris standring,through the looking glass ,2002,01,0.775,0.561,8.0,-9.538,1.0,0.0324,0.701,0.653,0.124,0.909,109.983,5399,0
dope stars inc.,chase the light,2006,08,0.483,0.959,11.0,-4.66,0.0,0.0333,5.29e-06,0.216,0.297,0.891,155.029,1807042,0
the vaughan brothers,good texan,1990,09,0.79,0.588,9.0,-10.241,1.0,0.0519,0.0511,0.0013,0.29,0.82,142.573,1319655,0
cabas,como nuestro amor no hay dos,2008,04,0.714,0.864,0.0,-5.96,1.0,0.0662,0.585,0.0,0.279,0.81,108.061,9935,0
elvenking,trows kind,2006,01,0.509,0.902,10.0,-5.273,0.0,0.0466,2.91e-05,4.01e-05,0.221,0.527,100.065,21816,0
nick colionne,if you ask me,2006,01,0.697,0.787,11.0,-6.946,1.0,0.027,0.369,0.803,0.302,0.937,101.99,9935,0
sleepy john estes,need more blues,2005,04,0.555,0.277,11.0,-10.031,1.0,0.0334,0.928,0.00163,0.0995,0.471,83.436,2580412,0
